Date,Open,High,Low,Close,Adj Close,Volume,Direction,Day,Month,Year
09/04/2019,7924.77002,7945.549805,7897.609863,7909.279785,7909.279785,2067570000,-1,9,4,2019
10/04/2019,7922.72998,7965.330078,7916.899902,7964.240234,7964.240234,1998280000,1,10,4,2019
11/04/2019,7975.200195,7975.200195,7933.410156,7947.359863,7947.359863,1956840000,-1,11,4,2019
12/04/2019,7984.149902,7992.089844,7952.609863,7984.160156,7984.160156,1955290000,1,12,4,2019
15/04/2019,7987.160156,7993.330078,7933.569824,7976.009766,7976.009766,1816920000,-1,15,4,2019
16/04/2019,8000.569824,8017.560059,7978.810059,8000.22998,8000.22998,2095330000,1,16,4,2019
17/04/2019,8044.970215,8052.399902,7973.379883,7996.080078,7996.080078,2290690000,-1,17,4,2019
18/04/2019,7998.450195,8002.310059,7950.970215,7998.060059,7998.060059,2089360000,1,18,4,2019
22/04/2019,7969.370117,8017.149902,7965.899902,8015.27002,8015.27002,1776060000,1,22,4,2019
23/04/2019,8026.75,8128.870117,8023.810059,8120.819824,8120.819824,2075070000,1,23,4,2019
24/04/2019,8122.879883,8139.549805,8101.700195,8102.009766,8102.009766,2022490000,-1,24,4,2019
25/04/2019,8150.850098,8151.839844,8075.410156,8118.680176,8118.680176,2063270000,1,25,4,2019
26/04/2019,8100.279785,8146.419922,8060.890137,8146.399902,8146.399902,1971270000,1,26,4,2019
29/04/2019,8147.649902,8176.080078,8136.410156,8161.850098,8161.850098,1761110000,1,29,4,2019
30/04/2019,8104.910156,8124.609863,8050.549805,8095.390137,8095.390137,2115770000,-1,30,4,2019
01/05/2019,8132.930176,8146,8048.22998,8049.640137,8049.640137,2247420000,-1,1,5,2019
02/05/2019,8046.47998,8094.060059,7976.77002,8036.77002,8036.77002,2158600000,-1,2,5,2019
03/05/2019,8092.879883,8164.709961,8084.799805,8164,8164,2046040000,1,3,5,2019
06/05/2019,7981.850098,8135.540039,7981.850098,8123.290039,8123.290039,1966120000,-1,6,5,2019
07/05/2019,8043.52002,8070.970215,7899.02002,7963.759766,7963.759766,2376660000,-1,7,5,2019
08/05/2019,7946.240234,8004.490234,7923.350098,7943.319824,7943.319824,2175100000,-1,8,5,2019
09/05/2019,7853.209961,7929.779785,7796.160156,7910.589844,7910.589844,2520770000,-1,9,5,2019
10/05/2019,7881.310059,7949.339844,7759.339844,7916.939941,7916.939941,2387720000,1,10,5,2019
13/05/2019,7720.069824,7760.830078,7627.220215,7647.02002,7647.02002,2478860000,-1,13,5,2019
14/05/2019,7689.660156,7776.200195,7665.299805,7734.490234,7734.490234,2084850000,1,14,5,2019
15/05/2019,7682.799805,7838.720215,7682.240234,7822.149902,7822.149902,2001530000,1,15,5,2019
16/05/2019,7832.580078,7946.22998,7826.669922,7898.049805,7898.049805,2163120000,1,16,5,2019
17/05/2019,7829.029785,7918.709961,7810.350098,7816.279785,7816.279785,2134120000,-1,17,5,2019
20/05/2019,7714.060059,7747.27002,7678.350098,7702.379883,7702.379883,2122410000,-1,20,5,2019
21/05/2019,7765.569824,7804.439941,7752.919922,7785.720215,7785.720215,1993210000,1,21,5,2019
22/05/2019,7749.799805,7786.330078,7738.350098,7750.839844,7750.839844,1881830000,-1,22,5,2019
23/05/2019,7660.720215,7665.149902,7585.319824,7628.279785,7628.279785,2243420000,-1,23,5,2019
24/05/2019,7675.569824,7694.149902,7631.25,7637.009766,7637.009766,1682920000,1,24,5,2019
28/05/2019,7655.660156,7693.740234,7603.759766,7607.350098,7607.350098,2352670000,-1,28,5,2019
29/05/2019,7553.02002,7581.109863,7503.939941,7547.310059,7547.310059,2278790000,-1,29,5,2019
30/05/2019,7565.459961,7595.899902,7527.660156,7567.720215,7567.720215,1872000000,1,30,5,2019
31/05/2019,7470.950195,7506.859863,7448.22998,7453.149902,7453.149902,2236940000,-1,31,5,2019
03/06/2019,7441.209961,7457.660156,7292.220215,7333.02002,7333.02002,2576920000,-1,3,6,2019
04/06/2019,7413.939941,7529.5,7385.02002,7527.120117,7527.120117,2369150000,1,4,6,2019
05/06/2019,7585.680176,7589.470215,7498.169922,7575.47998,7575.47998,2115570000,1,5,6,2019
06/06/2019,7582.240234,7634.120117,7546.220215,7615.549805,7615.549805,2070940000,1,6,6,2019
07/06/2019,7652.970215,7767.02002,7647.910156,7742.100098,7742.100098,2066020000,1,7,6,2019
10/06/2019,7798.870117,7895.439941,7795.759766,7823.169922,7823.169922,2049370000,1,10,6,2019
11/06/2019,7901.040039,7909.990234,7798.629883,7822.569824,7822.569824,2114680000,-1,11,6,2019
12/06/2019,7803.129883,7819.160156,7773.970215,7792.720215,7792.720215,1952790000,-1,12,6,2019
13/06/2019,7822.560059,7848.359863,7813.600098,7837.129883,7837.129883,1838930000,1,13,6,2019
14/06/2019,7807.189941,7819.209961,7778.120117,7796.660156,7796.660156,1804340000,-1,14,6,2019
17/06/2019,7819.430176,7865.97998,7812.609863,7845.02002,7845.02002,1935290000,1,17,6,2019
